NO CLIENTE,NÚMERO DE PEDIDO,NOMBRE DEL CLIENTE,DESTINO,FECHA DE ENVÍO,PROMESA DE ENTREGA,FECHA DE ENTREGA REAL,FLETERA,NÚMERO DE GUÍA,COSTO DE LA GUÍA,CANTIDAD DE CAJAS,COMENTARIOS
C09531,233216,EMPACADORA EL CENTENARIO,"AYOTLAN, JAL",12/01/2026,14/01/2026,,SIN HISTORIAL,0,0,7,Sin Informacion
C08350,233217,GARDEN INN PUEBLA (PBCGI),"SAN ANDRES, PUE",12/01/2026,14/01/2026,,EXXPREZO,0,0,288,Sin Informacion
CF0044,233218,HAMPTON INN GUADALAJARA EXPO (GDLEX),"ZAPOPAN, JAL",12/01/2026,14/01/2026,10/01/2026,LOCAL,NA,NA,2,Sin Informacion
C05818,233219,RAMADA ENCORE PUEBLA A0191476,"CORONANGO, PUE",10/01/2026,13/01/2026,,TRES GUERRAS,0,0,1,Sin Informacion
C06223,233220,HAMPTON INN CELAYA (CYWCM),"CELAYA, GTO",10/01/2026,13/01/2026,,TRES GUERRAS,0,0,1,Sin Informacion
C08350,233221,GARDEN INN PUEBLA (PBCGI),"SAN ANDRES, PUE",12/01/2026,14/01/2026,,EXXPREZO,0,0,3,Sin Informacion
C03826,233222,ENCORE QUERETARO (EQRO),"QUERETARO, QUE",12/01/2026,14/01/2026,,EXXPREZO,0,0,20,Sin Informacion
CF0032,233223,WYNDHAM GARDEN CIUDAD OBREGON,"CIUDAD OBREGON, SON",12/01/2026,15/01/2026,,TINY PACK,0,0,1,Sin Informacion
C09005,233224,SAMSON WATERS,"NUEVO NAYARIT, NAY",10/01/2026,14/01/2026,,TRES GUERRAS,0,0,4,Sin Informacion
C06394,233225,COURTYARD CHIHUAHUA(CUUCY) A0096789,"CHIHUAHUA, CHI",12/01/2026,15/01/2026,,TINY PACK,0,0,24,Sin Informacion
C08626,233226,HOTEL GINA,"COLIMA, COL",10/01/2026,13/01/2026,,TRES GUERRAS,0,0,39,Sin Informacion
C03474,233227,MOTEL NEVADO,"COLIMA, COL",10/01/2026,13/01/2026,,TRES GUERRAS,0,0,10,Sin Informacion
C08273,233230,HOTEL DEL VIAJERO,"CIUDAD DEL CARMEN, CAM",10/01/2026,14/01/2026,,TRES GUERRAS,0,0,21,Sin Informacion
C07639,233231,CITY EXPRESS HERMOSILLO EXPO (CEHME),"HERMOSILLO, SON",12/01/2026,15/01/2026,,TINY PACK,0,0,2,Sin Informacion
C04922,233232,PRODUCTOS DE LIMPIEZA DEL VALLE,"OAXACA DE JUAREZ, OAX",10/01/2026,14/01/2026,,TRES GUERRAS,0,0,4,Sin Informacion
C07309,233233,HOTEL BRILLANTE,"GUADALAJARA, JAL",12/01/2026,14/01/2026,10/01/2026,LOCAL,NA,NA,1,Sin Informacion
C04102,233234,VILLAS SOLARIS,"S.J. DEL CABO, BCS",10/01/2026,15/01/2026,,TRES GUERRAS,0,0,10,Sin Informacion
C04102,233235,VILLAS SOLARIS,"S.J. DEL CABO, BCS",10/01/2026,15/01/2026,,TRES GUERRAS,0,0,27,Sin Informacion
