NO CLIENTE,NÚMERO DE PEDIDO,NOMBRE DEL CLIENTE,FECHA DE ENVÍO,FLETERA,NÚMERO DE GUÍA,COSTO DE LA GUÍA,PROMESA DE ENTREGA,FECHA DE ENTREGA REAL,DESTINO,CANTIDAD DE CAJAS,COMENTARIOS
C09529,232159,PRESIDENTE INTERCONTINENTAL MONTERREY,09/12/2025,ONE,JALGDL 237769,1060,11/12/2025,15/12/2025,"SAN PEDRO GARZA GARCÍA, NL.",20,Sin Incidencias
C04604,232160,PRESIDENTE INTERCONTINENTAL PUEBLA,09/12/2025,ONE,JALGDL 237779,866.79,11/12/2025,24/12/2025,"PUEBLA, PUE.",17,Sin Incidencias
C00816,232161,HOTEL VERTICCA,09/12/2025,TRES GUERRAS,GLZ02733380,480,11/12/2025,11/12/2025,"SANTA CRUZ TECÁMAC, MEX.",8,Sin Incidencias
CM0010,232162,AQUA MEXICO AQBO,09/12/2025,ONE,JALGDL 237774,316.55,11/12/2025,13/12/2025,"MEXICO, DF.",5,Sin Incidencias
CP0017,232166,RIU VALLARTA,09/12/2025,SANCHEZ,2838435,435.75,11/12/2025,11/12/2025,"NVO.VALLARTA, B.BANDERAS, NAY.",1,Sin Incidencias
C09328,232171,COMSAN,10/12/2025,TRES GUERRAS,GLZ02735693,3749.6,13/12/2025,11/12/2025,"MAZATLAN, SIN.",100,Sin Incidencias
C01874,232172,HOLIDAY INN EXPRESS & SUITES MONTERREY AEROPUERTO(MTYZO),09/12/2025,ONE,JALGDL 237777,820.17,11/12/2025,18/12/2025,"APODACA, NL.",16,Sin Incidencias
C06739,232173,QUALITY INN MAZATLAN (143215),09/12/2025,TINY PACK,GDL 42480,172.07,12/12/2025,11/12/2025,"MAZATLAN, SIN.",3,Sin Incidencias
C07691,232174,HOTEL MORENO,09/12/2025,TRES GUERRAS,GLZ02733414,445,11/12/2025,17/12/2025,"CIUDAD VALLES, SLP.",4,Sin Incidencias
CG0009,232175,MOTEL MISSION GUASAVE,09/12/2025,TINY PACK,GD 3458927,881.72,12/12/2025,11/12/2025,"GUASAVE, SIN.",17,Sin Incidencias
